TitleEng,TitleRus,Genre,Story,Rating
7 Fates: CHAKHO,7 Судеб: Чакхо,Боевые искусства В цвете Демоны Магия Мистика Приключения Сверхъестественное Фэнтези Экшен ," Таинственный мужчина, встреченный на улице коррумпированного города, бросает сомнительные слова в сторону Джеху. Но тот, очнувшись в больнице, не может вспомнить, что произошло в тот день… Когда существование монстров, которым не место в мире, превращает город в целое бедствие, Семь судеб сплелись воедино и подняли оружие против них. Пришло время охоты на тигров. ",9.0
Flame of countless adversity,Пламя бесчисленных невзгод,В цвете Веб Героическое фэнтези Демоны Исекай Научная фантастика Фэнтези ," Линь Цзе, путешественник, владеет книжным магазином. Он добр и полон энтузиазма. Он всегда рекомендует книги, которые исцеляют душу, разочарованным и подавленным гостям, а иногда читает свои собственные работы. Со временем эти гости стали относиться к нему очень уважительно: каждый день приносили простые сувениры, просили рекомендовать книги и рассказывали окружающим о поступках обычного владельца книжного магазина. Они уважительно и нежно называют его «гиеной злого бога», «вестником Евангелия из плоти и крови», «составителем ритуала трупа» и «пастырем звезд». ""???"" ",9.49
Roses and Champagne,Шампанское и розы,В цвете Веб Детектив Драма Романтика Яой ," Ли Вон, действующий юрист для соотечественников, находящихся за рубежом, работает в России и мечтает однажды вернуться на родину в Корею. Чтобы помочь Николаю, у которого пытаются отнять завод, Ли Вон вступает в борьбу с недобросовестным городским советником Ждановым. Задача усложняется, когда Жданов обращается за помощью к боссу мафии по кличке «Царь»… А первая встреча Ли Вона и «Царя» происходит при самых, что называется, необычных обстоятельствах!.. ",9.8
Song of the Sky Pacers,Песнь о небесных странниках,Боевые искусства В цвете Веб Демоны Драма Магия Приключения Сейнен Трагедия Фэнтези Экшен ," В разгар небесного благоприятного знамения в императорской семье родилась особая пара близнецов — мальчик с родинкой цвета киновари и девочка с шестью пальцами. Однако брат и сестра жестоко разделены судьбой! Один отправляется на восток в небесный Пэнлай, чтобы ступить на долгий путь самосовершенствования. Другая была оставлена в камышах, и ей предначертано путешествовать вместе со старым мечником через царство смертных… Приближается судьбоносный день, смогут ли они воссоединиться? ",8.0
God's Identity Card,Удостоверение личности Бога,В цвете Веб Детектив Драма Повседневность Психологическое Сёнен ," Лу Ланьцяо, учащийся на судмедэксперта, неожиданно превратился в главного подозреваемого в убийстве собственного брата. Его последние слова заставили Ланьцяо пуститься в бега. Ради поисков настоящего убийцы брата, Ланьцяо знакомится с детективом, преследующим его. Постепенно отношения межу беглецом и преследователем начинают меняться… ",0.0
The youngest princess,Самая юная принцесса,В цвете Веб Исекай Комедия Магия Романтика Сёдзе Фэнтези ," Она была величайшим магом империи Мадо, но однажды переродилась как самая младшая принцесса. ""Теперь я в теле ребёнка и должна всеми способами скрывать, кто я на самом деле. Но разве все не слишком сильно обожают меня? Мне это не нравится, так что я постараюсь всё изменить. Младшенькая принцесса и сегодня страшно устала"". ",9.6
"I’m Divorced, But I’m a Chaebol",После развода я разбогатела,В цвете Веб Драма Исекай Магия Романтика Супер сила Фантастика Фэнтези ," Несмотря на то, что за одну ночь мне пришлось выйти замуж в этом мире, я старалась смириться и принять новую жизнь, но мой паршивый муж посчитал, что одних измен недостаточно и потребовал развод. Мне он тоже надоел, поэтому я по своей воле развелась с ним взамен на крупную сумму денег, чтобы потратить ее в будущем... После подписания контракта с ювелиром, который страдал из-за трудового кризиса, я расширяла бизнес все больше и больше. Украшения, духи, одежда, косметика, продажи... Все, к чему я прикасаюсь, становится успешным и делает меня очень богатой. ",7.25
Rent-A-Girlfriend,Девушка на час,Драма Комедия Повседневность Романтика Сёнен ," Киношита Казуя – обычный студент университета, которого девушка только что бросила ради другого парня. Чувствуя себя ниже плинтуса, он решает воспользоваться приложением «Бриллиант», наняв Мизухара Чизуру, девушку в аренду, чтобы почувствовать себя лучше. При первой встрече, она кажется ему идеальной девушкой, но так ли это, как кажется на первый взгляд? И как будут развиваться их не совсем обычные отношения? ",9.17
Guard Pass,Проход гарда,В цвете Веб Комедия Приключения Романтика Трагедия Школа Экшен ," ""Проход защиты/гарда"" — название приёма из джиу-джитсу.  Лим Се Джун, обладающий крупным телосложением, толстяк, обожающий вкусно поесть. У него высокая самооценка и твердый характер, и его не волнует, что его дразнят и обзывают толстяком. У него есть только один друг - Со Ха Джин. С самого детства она изучает джиу-джитсу, чтобы защитить Се Джуна. Однажды Ха Джин увидела, что у него проблемы с одним из одноклассников, и побила его. А дальше... Вы узнаете, прочитав данное произведение. ",8.33
Doomsday online,Система судного дня,Боевые искусства Меха Приключения Сёнен Трагедия Фантастика Фэнтези ," Конец света, Гу Цин Шань человек, вырвавшийся на свободу из времени и пространства, вернувшийся к краху прежнего мира, решивший изменить судьбу прошлого. Но с течением времени он постепенно понимает, что конец всего и вся было не по простой причине... ",8.0
Lillian of Turin,Лилиен Туринская,В цвете Веб Драма Романтика Сёдзе ,"  Я вспомнила книгу, которую читала в прошлой жизни. И главная героиня этой книги была мной. Лилиен Ислар - жадная и жестокая женщина, а также отвратительная мать. Она обрекла на страдания всю свою семью и ушла из жизни. В этот момент я поняла, что не хочу быть такой. Не хочу травмировать своего ребёнка и превращать мужа в монстра. Я наладила отношения с братом, усердно выполняла супружеские обязанности и делала всё возможное, чтобы муж не превратился в чудовище. Однако внезапно мой супруг оказался довольно обворожительным и ласковым мужчиной. «Прошу прощения, но не лучше ли нам остаться деловыми партнёрами?» ",8.5
See You in My 19th Life,Позаботься обо мне и в этой жизни,В цвете Веб Драма Комедия Романтика ," У главной героини есть необычная способность: она помнит свои прошлые жизни. После того, как её предыдущая жизнь трагически оборвалась, в этой жизни девушка решила воссоединиться с людьми из прошлого. Испортят ли воспоминания из её 18 жизни роман в 19? Или же разные жизни любви не помеха? ",8.38
Vanitas no Carte,Мемуары Ванитаса,Вампиры Детектив Драма Исторический Комедия Приключения Сверхъестественное Сёнен Фэнтези ," ​ Вы когда-нибудь слышали её? Историю о заводной книге заклинаний, которая щедро одаривает вампиров. Синяя кожаная обложка, блестящие чёрные страницы... Книга заклинаний с часовым механизмом на серебряной цепи... Это была особая книга, созданная Ванитасом, пропитанная мощью, способная управлять истинными именами вампиров. Сейчас, ведомые «Письменами Ванитаса», действующие лица собираются в Париже. Для баллады о вампирах, представленной автором «Сердец Пандоры», Мотидзуки Джун, поднимается занавес… ",9.27
Mercenary Enrollment,Прирожденный наёмник,Приключения Романтика Сёнен Школа Экшен ," Юй Идзинь когда-то был единственным выжившим в авиакатастрофе. Чтобы выжить, он становится наёмником. Спустя 10 лет он возвращается к своей семье в родной город. Сможет ли он забыть свое прошлое и жить жизнью обычного школьника? ",9.24
Miss not-so sidekick,Лучшая героиня второго плана,В цвете Веб Исекай Комедия Магия Романтика Сёдзе Фэнтези ," ""Э-э, что?""  [Добро пожаловать в мир ""Цветка зверя"".]  Благодаря этому убогому замечанию я поняла. Я попала в роман.  И кто я? Главная героиня?  Да что не так с моей судьбой?..  Второстепенный персонаж, злодейка мучившая и издевавшаяся над главной героиней, Лотти Эктри - вот кто я.  - Хорошо, тогда я собираюсь увеличить свою роль!  Что происходит?  Наследный принц, самый молодой герцог и даже хозяин Магической башни.  Зачем они приходят ко мне, один за другим?  Кого из великолепных красавцев выбрать, попробуем разобраться~  Но всё совсем не так, как я мечтала...  ""Черт... Давай просто понаблюдаем"". ",7.4
Cheating Men Must Die,Изменщик должен умереть,В цвете Веб Дзёсей Исекай Исторический ЛитRPG Приключения Романтика Сёдзе Фэнтези ," «Я всегда считала что мерзавцы крутые.» Уничтожение одного подонка дарит мгновение удовлетворения, но жизнь, потраченная на уничтожение подонков — жизнь, полная наслаждения... Сю Люй Сянвей, наша главная героиня, путешествует по мирам и с помощью ""Системы отмщения второстепенных женских персонажей"" помогает брошенным женщинам восстановить справедливость.  Сю Люй Сянвей: «Единственное, что может утешить меня — слезы раскаяния мёртвых и боль проституток». Система: «Жива ли моя хозяйка сегодня? Нет». ",9.06
Tales of Demons and Gods,Сказания о демонах и богах,Боевые искусства В цвете Гарем Героическое фэнтези Комедия Приключения Романтика Сёнен Фэнтези Экшен ," Сильнейший в мире заклинатель демонов Не Ли погиб в битве с Мудрецом-Императором. Но его душа воплотилась вновь, вернувшись на десятилетия назад, в нём самом, тринадцатилетнем подростке. Теперь у него есть шанс исправить все ошибки, совершённые в прошлом: спасти от разрушения родной город, защитить любимую, друзей и семью. Сейчас Не Ли самый посредственный и бесталанный ученик в классе, но опыт и знания, накопленные в предыдущей жизни помогут ему стать сильнее. ",9.42
Servamp,Сервамп,Вампиры Дзёсей Драма Комедия Сверхъестественное Экшен ," Сирота Махиру (Shirota Mahiru) - парень, не любящий выделяться или иметь дело с чем-то сложным и проблематичным. Как-то раз он подбирает голодного (по его мнению) бездомного кота, не пораскинув мозгами о том, что последствия могут быть отнюдь не приятные… ",8.88
True Education,Истинное Образование,В цвете Веб Комедия Школа Экшен ," На Хва Джин, член бюро по образованию, со всей серьезностью борется со студентами, дабы восстановить разрушенный авторитет преподавателей!  ",9.1
Tokyo Revengers,Токийские мстители,Драма Романтика Сверхъестественное Сёнен Фантастика Школа Экшен ," Жестокая сказка о 26-летнем девственнике, что потерял свою единственную девушку в разборке уличных банд и скатился к серой убогой жизни нищего неудачника на подработке без каких-либо планов и перспектив. Но как-то вечером, возвращаясь домой, бедолага угодил под электричку и откатился во времени на 12 лет. А омолодившись, он бросит все силы, чтобы войти в среду уличных банд и не дать единственной любви погибнуть. ",8.03
The Blood Princess And The Knight,Рыцарь и Королева Крови,Боевые искусства В цвете Вампиры Веб Героическое фэнтези Демоны Драма Исекай Комедия Магия Приключения Романтика Сёнен Смена пола Фэнтези Экшен ," История о главном священном рыцаре империи, который был взят в плен демонами и обращён в вампира. ",8.74
The Irregular of the Royal Academy of Magic,"Младший студент королевской академии магии - сильнейший маг-выскочка из трущоб, которому нет равных среди знати в академии",Гарем Магия Приключения Супер сила Фэнтези Школа Экшен Этти ," Мир, в котором магией могут пользоваться только люди, рожденные в знатной семье. Хотя он был простолюдином, Арсом, обладал большим магическим талантом, его называли «Проклятая Кровь» и заставляли вести угнетенную жизнь. Он был изгнан из семейного дома в очень молодом возрасте и провел десять лет, обучаясь на фокусника. В возрасте 15 лет Арсу предлагается поступить в академию магии, чтобы стать «официальным магом». Когда он появился у ворот академии, его ждала группа дворян очень низкого уровня. [Это глупо. Такое наивное мышление не сработает в реальных сражениях.] Арс, зачисленный в академию, полную дворян, начинает необычную жизнь как единственный «обычный человек» в академии. ",8.62
Ron Kamonohashi: Deranged Detective,Рон Камонохаши: невменяемый детектив,Детектив Драма Комедия Психологическое Сёнен ," Дуэт, что раскроет скрытую правду! Рон Камонохаши, частный сыщик с серьёзными проблемами, и Тотомару Ишшики, чистосердечный, но тупой детектив полиции, объединяются, чтобы разгадать самые невероятные тайны! ",8.0
A BOY WHO HAS BEEN BURNED BY THE FIRE OF HELL - REINSTATED AS THE STRONGEST FLAME MESSENGER,"Парень, сгоревший в адском пламени, становится самым сильным посланником огня",Гарем Героическое фэнтези Драма Комедия Магия Приключения Сейнен Сёнен Супер сила Фантастика Фэнтези Экшен ," “Адское пламя” – некогда запечатанный неугасаемый огонь, чьи яростные языки пламени способны сжечь весь мир до тла. Флеер – обычный парень, живущий в пограничной деревушке, которого решили принести в жертву выходящему из-под контроля огню. Испытывая нечеловеческие муки в адском пламени, у него, казалось бы, нет никаких шансов выжить… Но погодите-ка! Он не умирает? Он стерпел ярость адского пламени? Флеер буквально восстал из пепла и вернулся в мир живых, обретя способность управлять “Адским пламенем”! Это фэнтезийная история о путешествиях вольного героя, что покорил пламя и обманул саму смерть! ",8.76
Bai lian cheng shen,Становление богом,Боевые искусства В цвете Приключения Сверхъестественное Сёнен Фэнтези Экшен ," Луо Джен, для того что бы спасти свою сестру Луо Ень, встал на путь изучения высшего боевого искусства - ""Становление Богом"". Только он сможет вернуть Луо Ень свободу. Правда, чем ближе он к своей цели, тем сложнее препятствия встают на его пути! ",8.52
Survive as the Hero's Wife,Выжить в качестве жены героя,В цвете Веб Игры Романтика Сёдзе Фэнтези ," Цанария переродилась в злодейку из популярного романа. Основываясь на сюжете, ей суждено быть казненной, но сможет ли она предотвратить то, что должно случится, пока не стало слишком поздно? ",8.78
Doridosim,ДольДосим,В цвете Веб Драма Комедия Повседневность Романтика Школа ," Кан Доль решает рассказать о своих чувствах Ян Ян. Но судьба была против него. Он делает мужественное признание, но когда открывает глаза и поворачивается, вместо Ян Ян он находит Мин До Сим, стоящую перед ним. К сожалению?! Но более шокирующим обстоятельством является то, что До Сим — самая популярная девушка школы. Что Кан Доль должен сделать, чтобы исправить этот беспорядок? ",8.35
Free Draw,Свободный выбор,В цвете Веб Драма Комедия Повседневность Сёнен Школа ," Различные события, юношеские драмы или комедии, школьные группировки - все вращается вокруг Хан Тэcона. ",8.52
A Pervert's Daily Life,Повседневная жизнь извращенки,В цвете Веб Комедия Повседневность Романтика Сейнен Хентай Этти ," Можно сказать, что Джин-Ву и Се-Ёнг неудачно начали свое знакомство. Не зная, что Се-Ёнг будет жить в общежитии компании вместе с мужчиной, её прямым начальником, она вбежала в свою комнату, по крайней мерее она так думала. Но это был самый не подходящий момент, поскольку Джин-Ву находился в процессе получения удовольствия. Смущенный Джин-Ву уже было подумал, что его жизнь кончена. Однако он не мог знать, что Се-Ёнг не была простым новичком. У неё был свой собственный грязный маленький секрет... ",8.92
Jade World Academy,Божественная библиотека Лан Хуань,Боевые искусства В цвете Веб Комедия Магия Приключения Фэнтези ," В мире просвещения Хуань Хай Тянь, в котором обитают могущественные секты, живший в современном мире Ян Жуй волей судьбы становится новым настоятелем божественной библиотеки Лан Хуань. Ян Жуй собирается набрать новых учеников и сделать нечто поистине выдающееся. Сможет ли Ян Жуй прославить имя библиотеки Лан Хуань? ",8.34
The Great Ruler,Великий правитель,Боевые искусства В цвете Веб Драма Комедия Приключения Романтика Сверхъестественное Сёнен Фэнтези Экшен ," Великая Тысяча Миров. Это место, где многочисленные плоскости миров пересекаются, это место, где живут многие кланы и место, где собираются владыки. Небесные Владыки появляются один за другим из Нижних Планов, и они все будут отображать легенды, которые другие будут желать. Как они последуют по дороге судьбы, будучи правителями в этом безграничном мире?В Бесконечном Крае Огня, которым управляет Огненный Император, тысячи огней полыхают в небесах.Внутри Боевых Областей, сила Боевых Предков страшит небеса и землю.В Западном Храме Неба, могущество Императора Сотни Битв является абсолютным.На Северном одиноком холме, в месте заполненном тысячами могил, Бессмертный Владелец правит миром.Мальчик из Северной Духовной Области. Кто сможет выбрать свой путь в жизни и управлять своей же судьбой, став Великим Правителем? Ведь в Большой Тысячи Миров, многие стремятся стать Великим Правителем. ",8.66
